group_id,sura,aya
1,2,1
1,3,1
1,29,1
1,30,1
1,31,1
1,32,1
2,2,5
2,31,5
3,2,35
3,7,19
4,2,95
4,62,7
5,2,134
5,2,141
6,3,51
6,19,36
6,43,64
7,5,10
7,5,86
8,5,92
8,64,12
9,6,4
9,36,46
10,6,15
10,39,13
11,7,15
11,15,37
12,7,45
12,11,19
13,7,112
13,26,37
14,7,114
14,26,42
15,7,115
15,20,65
16,7,120
16,26,46
17,7,121
17,26,47
18,7,122
18,26,48
19,7,183
19,68,45
20,8,13
20,59,4
21,9,33
21,61,9
22,9,73
22,66,9
23,10,1
23,12,1
24,10,48
24,21,38
24,27,71
24,34,29
24,36,48
24,67,25
25,11,96
25,40,23
26,14,20
26,35,17
27,15,35
27,38,78
28,15,40
28,38,83
29,15,45
29,51,15
29,52,17
29,54,54
30,15,58
30,51,32
31,16,42
31,29,59
32,16,55
32,30,34
33,17,48
33,25,9
34,18,72
34,18,75
35,18,89
35,18,92
36,19,41
36,19,56
37,20,9
37,79,15
38,20,24
38,79,17
39,23,7
39,70,31
40,23,26
40,23,39
41,25,56
41,33,45
41,48,8
42,26,1
42,28,1
43,26,2
43,28,2
44,26,8
44,26,67
44,26,103
44,26,121
44,26,174
44,26,190
45,26,9
45,26,68
45,26,122
45,26,140
45,26,159
45,26,175
45,26,191
46,26,24
46,44,7
47,26,66
47,37,82
48,26,107
48,26,125
48,26,143
48,26,162
48,26,178
49,26,108
49,26,110
49,26,126
49,26,131
49,26,144
49,26,150
49,26,163
49,26,179
50,26,124
50,26,142
50,26,161
51,26,127
51,26,145
51,26,164
51,26,180
52,26,147
52,44,52
53,26,172
53,37,136
54,26,173
54,27,58
55,26,204
55,37,176
56,27,3
56,31,4
57,27,53
57,41,18
58,27,81
58,30,53
59,28,62
59,28,74
60,28,71
60,28,72
61,30,37
61,39,52
62,37,34
62,77,18
63,37,40
63,37,74
63,37,128
64,37,43
64,56,12
65,37,78
65,37,108
65,37,119
65,37,129
66,37,80
66,37,110
66,37,121
66,37,131
66,77,44
67,37,81
67,37,111
67,37,132
68,37,175
68,37,179
69,39,1
69,40,2
69,45,2
69,46,2
70,39,48
70,45,33
71,40,1
71,41,1
71,43,1
71,44,1
71,45,1
71,46,1
72,41,8
72,84,25
72,95,6
73,43,2
73,44,2
74,43,83
74,70,42
75,52,11
75,77,19
75,77,24
75,77,28
75,77,34
75,77,37
75,77,40
75,77,45
75,77,47
75,77,49
75,83,10
76,54,17
76,54,22
76,54,32
76,54,40
77,54,21
77,54,30
78,55,13
78,55,16
78,55,18
78,55,21
78,55,23
78,55,25
78,55,28
78,55,30
78,55,32
78,55,34
78,55,36
78,55,38
78,55,40
78,55,42
78,55,45
78,55,47
78,55,49
78,55,51
78,55,53
78,55,55
78,55,57
78,55,59
78,55,61
78,55,63
78,55,65
78,55,67
78,55,69
78,55,71
78,55,73
78,55,75
78,55,77
79,56,8
79,56,27
80,56,74
80,56,96
80,69,52
81,57,1
81,59,1
81,61,1
82,68,15
82,83,13
83,74,19
83,74,20
84,74,54
84,80,11
85,75,22
85,80,38
86,75,34
86,75,35
87,77,14
87,82,17
87,82,18
88,82,13
88,83,22
89,83,9
89,83,20
90,92,7
90,92,10
91,113,1
91,114,1
