language,fertility,joshi,script,retrieval
khmer,115.31943553559974,1,Khmer,0.649025
yoruba,93.67415009621551,2,Latin,0.301796875
uyghur,88.59156510583708,1,Arabic,0.623196875
kurdish,81.9615137908916,0,Arabic,0.29791875
japanese,71.80981398332264,5,CJK,0.645359375
asante,71.59284797947402,1,Latin,0.2129875
tamil,65.98268120590122,3,Brahmic,0.694009375
malayalam,65.7998717126363,1,Brahmic,0.699471875
moore,65.74470814624759,0,Latin,0.098396875
lithuanian,63.3662604233483,3,Latin,0.6792125
assamese,62.449807568954455,1,Brahmic,0.6098718750000001
tajik,61.76459268762027,1,Cyrillic,0.537196875
kyrgyz,57.74406670942912,1,Cyrillic,0.62765625
vietnamese,56.758819756254006,4,Latin,0.664015625
kannada,56.49775497113534,1,Brahmic,0.68759375
persian,55.0271007055805,4,Arabic,0.709990625
gujarati,54.3855035279025,1,Brahmic,0.6205125
hausa,50.76042334830019,2,Latin,0.5019843749999999
uzbek,50.06109685695959,3,Latin,0.531865625
tagalog,49.68104554201411,3,Latin,0.57506875
albanian,49.32921744708146,1,Latin,0.72809375
romanian,49.08146247594612,3,Latin,0.70295
azeri,47.729474021808855,1,Latin,0.7080624999999999
pashto,47.17527261064785,1,Arabic,0.5836749999999999
macedonian,47.01523412443874,1,Cyrillic,0.723253125
urdu,46.16019884541373,3,Arabic,0.707978125
indonesian,46.00946119307248,3,Latin,0.703659375
oromo,45.29939063502245,1,Latin,0.2903656249999999
spanish,44.59381013470173,5,Latin,0.681446875
serbian,43.83146247594612,4,Cyrillic,0.72005625
lingala,42.35695958948044,1,Latin,0.313046875
turkish,40.269724182168055,4,Latin,0.694484375
french,40.14480436177037,5,Latin,0.66164375
dutch,39.52132777421424,4,Latin,0.71895
bosnian-mihanovich,39.11385503527902,3,Latin,0.73336875
bosnian-rwwad,38.88694676074407,3,Latin,0.7312531250000001
croatian,38.82825529185375,4,Latin,0.7306781250000001
german,38.42944194996793,5,Latin,0.715784375
portuguese,36.911321359846056,4,Latin,0.66440625
chinese,34.52581783194356,5,CJK,0.621615625
english,30.774534958306607,5,Latin,0.748278125
