sura,type
1,Meccan
2,Medinan
3,Medinan
4,Medinan
5,Medinan
6,Meccan
7,Meccan
8,Medinan
9,Medinan
10,Meccan
11,Meccan
12,Meccan
13,Medinan
14,Meccan
15,Meccan
16,Meccan
17,Meccan
18,Meccan
19,Meccan
20,Meccan
21,Meccan
22,Medinan
23,Meccan
24,Medinan
25,Meccan
26,Meccan
27,Meccan
28,Meccan
29,Meccan
30,Meccan
31,Meccan
32,Meccan
33,Medinan
34,Meccan
35,Meccan
36,Meccan
37,Meccan
38,Meccan
39,Meccan
40,Meccan
41,Meccan
42,Meccan
43,Meccan
44,Meccan
45,Meccan
46,Meccan
47,Medinan
48,Medinan
49,Medinan
50,Meccan
51,Meccan
52,Meccan
53,Meccan
54,Meccan
55,Medinan
56,Meccan
57,Medinan
58,Medinan
59,Medinan
60,Medinan
61,Medinan
62,Medinan
63,Medinan
64,Medinan
65,Medinan
66,Medinan
67,Meccan
68,Meccan
69,Meccan
70,Meccan
71,Meccan
72,Meccan
73,Meccan
74,Meccan
75,Meccan
76,Medinan
77,Meccan
78,Meccan
79,Meccan
80,Meccan
81,Meccan
82,Meccan
83,Meccan
84,Meccan
85,Meccan
86,Meccan
87,Meccan
88,Meccan
89,Meccan
90,Meccan
91,Meccan
92,Meccan
93,Meccan
94,Meccan
95,Meccan
96,Meccan
97,Meccan
98,Medinan
99,Medinan
100,Meccan
101,Meccan
102,Meccan
103,Meccan
104,Meccan
105,Meccan
106,Meccan
107,Meccan
108,Meccan
109,Meccan
110,Medinan
111,Meccan
112,Meccan
113,Meccan
114,Meccan
