encoder,language,corpus_eng_top1,n_pairs
labse,moore,0.0795,2
labse,oromo,0.102,2
labse,asante,0.1145,2
labse,lingala,0.17,2
labse,yoruba,0.679,2
labse,kurdish,0.0895,2
labse,khmer,0.937,2
labse,uyghur,0.874,2
labse,german,0.963,2
labse,tamil,0.9445,2
mpnet,moore,0.0065,2
mpnet,oromo,0.006,2
mpnet,asante,0.009,2
mpnet,lingala,0.004,2
mpnet,yoruba,0.008,2
mpnet,kurdish,0.3165,2
mpnet,khmer,0.588,2
mpnet,uyghur,0.3675,2
mpnet,german,0.8755,2
mpnet,tamil,0.601,2
e5,moore,0.2255,2
e5,oromo,0.494,2
e5,asante,0.4525,2
e5,lingala,0.539,2
e5,yoruba,0.2875,2
e5,kurdish,0.6815,2
e5,khmer,0.699,2
e5,uyghur,0.812,2
e5,german,0.9075,2
e5,tamil,0.9045,2
bgem3,moore,0.059,2
bgem3,oromo,0.657,2
bgem3,asante,0.379,2
bgem3,lingala,0.687,2
bgem3,yoruba,0.4345,2
bgem3,kurdish,0.3875,2
bgem3,khmer,0.9355,2
bgem3,uyghur,0.8845,2
bgem3,german,0.962,2
bgem3,tamil,0.947,2
