language,gpt4o_o200k_tok_per_verse,usd_per_full_quran,verses_per_context
khmer,115.31943553559974,3.59566,1110.0
yoruba,93.67415009621553,2.92076,1366.0
uyghur,88.59156510583708,2.762285,1445.0
arabic_source,85.58322642719692,2.668485,1496.0
kurdish,81.9615137908916,2.55556,1562.0
japanese,71.80981398332264,2.23903,1782.0
asante,71.59284797947402,2.2322649999999995,1788.0
tamil,65.98268120590122,2.05734,1940.0
malayalam,65.7998717126363,2.05164,1945.0
moore,65.74470814624759,2.0499199999999997,1947.0
lithuanian,63.3662604233483,1.97576,2020.0
assamese,62.449807568954455,1.947185,2050.0
tajik,61.76459268762027,1.92582,2072.0
kyrgyz,57.74406670942912,1.8004600000000002,2217.0
vietnamese,56.758819756254006,1.7697399999999999,2255.0
kannada,56.49775497113534,1.7616,2266.0
persian,55.0271007055805,1.7157449999999999,2326.0
gujarati,54.3855035279025,1.69574,2354.0
hausa,50.76042334830019,1.58271,2522.0
uzbek,50.06109685695959,1.560905,2557.0
tagalog,49.68104554201411,1.549055,2576.0
albanian,49.32921744708146,1.538085,2595.0
romanian,49.08146247594612,1.53036,2608.0
azeri,47.729474021808855,1.488205,2682.0
pashto,47.17527261064785,1.4709249999999998,2713.0
macedonian,47.01523412443874,1.465935,2723.0
urdu,46.160198845413724,1.439275,2773.0
indonesian,46.00946119307248,1.434575,2782.0
oromo,45.29939063502245,1.4124349999999999,2826.0
spanish,44.593810134701734,1.3904349999999999,2870.0
serbian,43.83146247594612,1.366665,2920.0
lingala,42.35695958948044,1.32069,3022.0
turkish,40.269724182168055,1.2556100000000001,3179.0
french,40.14480436177037,1.2517150000000001,3188.0
dutch,39.52132777421424,1.2322750000000002,3239.0
bosnian-mihanovich,39.11385503527902,1.21957,3272.0
bosnian-rwwad,38.88694676074407,1.2124949999999999,3292.0
croatian,38.82825529185375,1.2106649999999999,3297.0
german,38.42944194996793,1.1982300000000001,3331.0
portuguese,36.911321359846056,1.150895,3468.0
chinese,34.525817831943556,1.0765149999999999,3707.0
english,30.774534958306607,0.95955,4159.0
