encoder,language,accuracy,macro_f1
labse,albanian,0.834,0.7151
labse,asante,0.779,0.6093
labse,assamese,0.83,0.725
labse,azeri,0.835,0.7199
labse,bosnian-mihanovich,0.833,0.714
labse,bosnian-rwwad,0.839,0.7218
labse,chinese,0.825,0.6817
labse,croatian,0.84,0.7217
labse,dutch,0.835,0.7235
labse,english,0.831,0.7412
labse,french,0.839,0.7291
labse,german,0.83,0.7016
labse,gujarati,0.838,0.7459
labse,hausa,0.816,0.7125
labse,indonesian,0.827,0.7261
labse,japanese,0.829,0.6934
labse,kannada,0.827,0.6998
labse,khmer,0.833,0.7213
labse,kurdish,0.683,0.6298
labse,kyrgyz,0.818,0.7267
labse,lingala,0.759,0.7071
labse,lithuanian,0.817,0.7113
labse,macedonian,0.83,0.7056
labse,malayalam,0.83,0.7108
labse,moore,0.792,0.6635
labse,oromo,0.781,0.6492
labse,pashto,0.832,0.7536
labse,persian,0.839,0.7411
labse,portuguese,0.836,0.7134
labse,romanian,0.825,0.6863
labse,serbian,0.83,0.6988
labse,spanish,0.84,0.7528
labse,tagalog,0.825,0.7104
labse,tajik,0.832,0.745
labse,tamil,0.837,0.7314
labse,turkish,0.829,0.7135
labse,urdu,0.831,0.7144
labse,uyghur,0.798,0.7215
labse,uzbek,0.826,0.7261
labse,vietnamese,0.815,0.6952
labse,yoruba,0.802,0.7205
mpnet,albanian,0.817,0.6422
mpnet,asante,0.76,0.4318
mpnet,assamese,0.764,0.4492
mpnet,azeri,0.79,0.5532
mpnet,bosnian-mihanovich,0.837,0.7184
mpnet,bosnian-rwwad,0.832,0.7104
mpnet,chinese,0.775,0.501
mpnet,croatian,0.836,0.7173
mpnet,dutch,0.832,0.7375
mpnet,english,0.843,0.757
mpnet,french,0.841,0.7313
mpnet,german,0.842,0.7347
mpnet,gujarati,0.772,0.4893
mpnet,hausa,0.764,0.4531
mpnet,indonesian,0.798,0.5903
mpnet,japanese,0.824,0.6759
mpnet,kannada,0.777,0.5022
mpnet,khmer,0.771,0.4854
mpnet,kurdish,0.771,0.4784
mpnet,kyrgyz,0.78,0.5137
mpnet,lingala,0.76,0.4318
mpnet,lithuanian,0.822,0.7187
mpnet,macedonian,0.83,0.6988
mpnet,malayalam,0.793,0.5663
mpnet,moore,0.76,0.4318
mpnet,oromo,0.76,0.4318
mpnet,pashto,0.769,0.4738
mpnet,persian,0.788,0.5433
mpnet,portuguese,0.839,0.7336
mpnet,romanian,0.831,0.7168
mpnet,serbian,0.83,0.7002
mpnet,spanish,0.827,0.7076
mpnet,tagalog,0.761,0.4362
mpnet,tajik,0.76,0.4318
mpnet,tamil,0.794,0.5671
mpnet,turkish,0.79,0.556
mpnet,urdu,0.81,0.6373
mpnet,uyghur,0.801,0.5976
mpnet,uzbek,0.76,0.4318
mpnet,vietnamese,0.83,0.749
mpnet,yoruba,0.76,0.4318
e5,albanian,0.798,0.5831
e5,asante,0.763,0.4449
e5,assamese,0.793,0.5663
e5,azeri,0.794,0.5697
e5,bosnian-mihanovich,0.804,0.607
e5,bosnian-rwwad,0.804,0.6002
e5,chinese,0.76,0.4318
e5,croatian,0.8,0.5896
e5,dutch,0.804,0.6048
e5,english,0.845,0.7456
e5,french,0.818,0.647
e5,german,0.814,0.6373
e5,gujarati,0.764,0.4492
e5,hausa,0.769,0.4702
e5,indonesian,0.791,0.554
e5,japanese,0.76,0.4318
e5,kannada,0.773,0.4899
e5,khmer,0.762,0.4406
e5,kurdish,0.778,0.5187
e5,kyrgyz,0.781,0.5175
e5,lingala,0.774,0.4904
e5,lithuanian,0.771,0.4819
e5,macedonian,0.777,0.5022
e5,malayalam,0.807,0.6119
e5,moore,0.76,0.4318
e5,oromo,0.76,0.4318
e5,pashto,0.794,0.5697
e5,persian,0.808,0.6128
e5,portuguese,0.776,0.4983
e5,romanian,0.792,0.5655
e5,serbian,0.805,0.6079
e5,spanish,0.779,0.5099
e5,tagalog,0.78,0.523
e5,tajik,0.799,0.5863
e5,tamil,0.81,0.619
e5,turkish,0.784,0.5317
e5,urdu,0.791,0.554
e5,uyghur,0.79,0.5532
e5,uzbek,0.77,0.4743
e5,vietnamese,0.788,0.5433
e5,yoruba,0.76,0.4318
bgem3,albanian,0.842,0.7627
bgem3,asante,0.781,0.5237
bgem3,assamese,0.828,0.7148
bgem3,azeri,0.836,0.7571
bgem3,bosnian-mihanovich,0.828,0.7469
bgem3,bosnian-rwwad,0.832,0.752
bgem3,chinese,0.77,0.4882
bgem3,croatian,0.832,0.7503
bgem3,dutch,0.83,0.7629
bgem3,english,0.85,0.7699
bgem3,french,0.846,0.7638
bgem3,german,0.833,0.7594
bgem3,gujarati,0.83,0.7108
bgem3,hausa,0.831,0.7344
bgem3,indonesian,0.836,0.7571
bgem3,japanese,0.834,0.7293
bgem3,kannada,0.824,0.6952
bgem3,khmer,0.781,0.5326
bgem3,kurdish,0.787,0.5537
bgem3,kyrgyz,0.832,0.7459
bgem3,lingala,0.817,0.6894
bgem3,lithuanian,0.821,0.7438
bgem3,macedonian,0.829,0.7323
bgem3,malayalam,0.839,0.7544
bgem3,moore,0.763,0.4449
bgem3,oromo,0.781,0.5206
bgem3,pashto,0.831,0.6999
bgem3,persian,0.846,0.7655
bgem3,portuguese,0.842,0.7567
bgem3,romanian,0.846,0.7576
bgem3,serbian,0.834,0.7541
bgem3,spanish,0.825,0.7229
bgem3,tagalog,0.81,0.6411
bgem3,tajik,0.83,0.7082
bgem3,tamil,0.835,0.7608
bgem3,turkish,0.833,0.7514
bgem3,urdu,0.835,0.7367
bgem3,uyghur,0.835,0.7492
bgem3,uzbek,0.834,0.7248
bgem3,vietnamese,0.834,0.7463
bgem3,yoruba,0.792,0.5732
