tokenizer,mean_tpv,mean_lo,mean_hi,spread_maxmin,p90_p10,p90_p10_lo,p90_p10_hi
nllb,44.189978723071384,41.98967726732271,46.5152117328181,2.0575292157133305,1.5418132949098065,1.3546064438936842,1.7245374860299076
mt5,56.61713262097342,51.865237840078855,62.00596047341165,3.5302843499872787,1.7066604203113902,1.3927362503127438,2.4762357901517422
aya,56.61713262097342,51.93834237472426,62.031588318809746,3.5302843499872787,1.7066604203113902,1.3927362503127438,2.4762357901517422
gpt4o_o200k,54.267342261299454,49.24195945258844,59.78607837653906,3.747235683393257,1.8494215988733465,1.633366626056861,2.4125253476395203
mbert,54.817640294748045,49.711686177036555,60.1874240249378,8.695939422360762,1.8983200211499482,1.6258916467626363,2.6187970274036227
xlmr,49.61837638260924,45.388269821962176,54.51450282779769,3.503764255847314,1.9286991026244693,1.5573844116639348,2.2288970463864977
gemma,62.35077207090223,54.35573108152505,71.78415533722367,5.857603323927676,2.474271043020215,2.0183881725552872,3.312336194434794
bloom,62.474233013657916,53.85886815735541,73.56718424881491,7.896180792542425,2.548363657995598,1.8518700928787486,3.5846385260599467
byt5,224.00491637854162,191.84383291744243,258.72827602121436,4.394193137099313,2.9487309989142245,2.0233689791825493,4.109328661258328
gpt4_cl100k,101.4561398019368,80.83459104491621,124.52080504231915,9.738481935697715,4.811351063143344,2.4840197380262654,6.351732171420616
llama3,92.46217869491075,72.07170021824496,116.0991393404152,9.688157226774965,5.127231141157225,2.1429409508337285,6.676207675270343
