encoder,language,flores_top1,ci_lo,ci_hi
labse,moore,0.5434782608695652,0.5212450592885376,0.5652297430830039
labse,oromo,0.4698616600790514,0.4486166007905138,0.491600790513834
labse,asante,0.7178853754940712,0.6995923913043478,0.7376482213438735
labse,lingala,0.7257905138339921,0.7065217391304348,0.7450592885375494
labse,yoruba,0.974308300395257,0.9678853754940712,0.9812252964426876
labse,kurdish,0.4486166007905138,0.4278656126482213,0.4693675889328063
labse,khmer,0.9792490118577076,0.9728260869565216,0.9851778656126482
labse,uyghur,0.9980237154150198,0.9960474308300395,0.9995059288537548
labse,german,1.0,1.0,1.0
labse,tamil,1.0,1.0,1.0
mpnet,moore,0.2391304347826087,0.2223196640316205,0.257917490118577
mpnet,oromo,0.0879446640316205,0.0765810276679841,0.099320652173913
mpnet,asante,0.3473320158102767,0.3275568181818182,0.3685770750988142
mpnet,lingala,0.2386363636363636,0.2203557312252964,0.2559288537549407
mpnet,yoruba,0.2257905138339921,0.2079916007905138,0.2445652173913043
mpnet,kurdish,0.8532608695652174,0.8389328063241107,0.8695775691699604
mpnet,khmer,0.9323122529644268,0.9224308300395256,0.9436758893280632
mpnet,uyghur,0.8221343873517787,0.8048418972332015,0.8374505928853755
mpnet,german,0.9975296442687748,0.9950592885375494,0.9995059288537548
mpnet,tamil,0.9115612648221344,0.8997035573122529,0.923925395256917
e5,moore,0.545455,0.523197,0.568182
e5,oromo,0.748024,0.729743,0.766304
e5,asante,0.923913,0.913031,0.935277
e5,lingala,0.939723,0.92836,0.949605
e5,yoruba,0.842885,0.827063,0.859202
e5,kurdish,0.948617,0.939217,0.95751
e5,khmer,0.979249,0.972826,0.985672
e5,uyghur,0.94417,0.934276,0.954545
e5,german,1.0,1.0,1.0
e5,tamil,0.99753,0.995059,0.999506
bgem3,moore,0.51334,0.491601,0.536067
bgem3,oromo,0.879941,0.866094,0.893775
bgem3,asante,0.831522,0.815711,0.847357
bgem3,lingala,0.947134,0.937747,0.956522
bgem3,yoruba,0.815217,0.797431,0.830546
bgem3,kurdish,0.759387,0.742083,0.776198
bgem3,khmer,0.998024,0.996047,0.999506
bgem3,uyghur,0.994565,0.991107,0.99753
bgem3,german,0.999506,0.998518,1.0
bgem3,tamil,0.999506,0.998518,1.0
