tokenizer,n_langs,corpus_p90p10,flores_p90p10,flores_p90p10_lo,flores_p90p10_hi,corpus_maxmin,flores_maxmin,spearman_lang_fertility,p
nllb,41,1.56,1.28,1.21,1.51,2.89,1.9,0.526,4.2e-04
mt5,41,1.82,1.59,1.36,1.96,3.53,2.83,0.693,5.0e-07
gpt4o_o200k,41,2.11,1.63,1.43,2.22,3.75,3.34,0.739,3.4e-08
xlmr,41,1.95,1.71,1.37,2.13,3.5,2.45,0.691,5.6e-07
mbert,41,1.91,1.75,1.52,2.23,8.7,8.49,0.798,4.2e-10
byt5_bytes,41,2.93,2.47,1.8,3.1,4.39,3.6,0.904,5.3e-16
gemma2,41,2.47,2.62,1.95,3.0,5.86,5.35,0.857,8.9e-13
bloom,41,2.55,2.63,1.9,3.28,7.9,6.84,0.828,2.3e-11
gpt4_cl100k,41,4.81,4.82,2.37,5.64,9.74,8.94,0.943,2.7e-20
llama3,41,5.13,5.18,2.02,6.27,9.69,8.94,0.873,1.0e-13
