language,macro_f1
albanian,0.6061723532992016
asante,0.6052749002890074
assamese,0.5911972248131605
azeri,0.6214686676206336
bosnian-mihanovich,0.6019297899414122
bosnian-rwwad,0.5994449693161326
chinese,0.643633159934468
croatian,0.5977995089451745
dutch,0.6233171824125244
english,0.5994449693161326
french,0.6062167483557455
german,0.6078890682527639
gujarati,0.5934959349593496
hausa,0.5883205519906913
indonesian,0.5862753751103266
japanese,0.6205142032545901
kannada,0.6036970364598726
khmer,0.612604294426861
kurdish,0.5907359047904448
kyrgyz,0.5941607089344578
lingala,0.5835460383137645
lithuanian,0.5641425640870301
macedonian,0.601099268568829
malayalam,0.6129809319349738
moore,0.6053802061386787
oromo,0.6112839680947313
pashto,0.6034065291809301
persian,0.5915453316034076
portuguese,0.5907359047904448
romanian,0.6205962059620596
serbian,0.5951251709660517
spanish,0.59443381445936
tagalog,0.6103740409207161
tajik,0.5828276699029127
tamil,0.6095099089030005
turkish,0.6018425081176075
urdu,0.5793799646954987
uyghur,0.6036585365853658
uzbek,0.5951251709660517
vietnamese,0.5732193370438561
yoruba,0.6303548593350383
