language,mean_top1,lo,hi,n_pairs
moore,0.08996875000000001,0.07373109375,0.10683125,160
asante,0.20335,0.17638671875,0.23013140624999998,160
yoruba,0.28995,0.25652453125,0.3234015625,160
kurdish,0.29420625,0.26089359375000004,0.32843828125,160
oromo,0.29595000000000005,0.25361749999999994,0.33930640625,160
lingala,0.31002500000000005,0.26728734375,0.3524134375,160
hausa,0.48732500000000006,0.43518671875,0.5381284375,160
tajik,0.52700625,0.47155546875,0.5810328124999999,160
uzbek,0.53149375,0.47456859375,0.5868689062500001,160
tagalog,0.576075,0.51858828125,0.6327567187500002,160
pashto,0.58253125,0.53479359375,0.62872546875,160
assamese,0.60071875,0.5459809375,0.65502609375,160
uyghur,0.6095124999999999,0.5628410937500001,0.65511984375,160
gujarati,0.6104875,0.561211875,0.66023359375,160
kyrgyz,0.6188499999999999,0.5695851562500001,0.6680193750000001,160
khmer,0.6488375,0.6036726562500001,0.69222703125,160
chinese,0.6501812499999999,0.60512421875,0.6926878125000001,160
japanese,0.6511625000000001,0.60670578125,0.6949753125,160
vietnamese,0.66168125,0.6165492187499999,0.7043070312499999,160
portuguese,0.6685000000000001,0.6203615625,0.714400625,160
french,0.67094375,0.6272875000000001,0.7130501562500001,160
tamil,0.67839375,0.6321223437500001,0.7219379687499999,160
lithuanian,0.6870375,0.644305625,0.728425625,160
kannada,0.68785625,0.6397929687499999,0.73346515625,160
urdu,0.6881999999999999,0.6443562500000001,0.73066296875,160
persian,0.6886187500000001,0.64385578125,0.7320457812500001,160
spanish,0.68946875,0.6454117187499999,0.72994453125,160
malayalam,0.6908437500000001,0.64444859375,0.73445625,160
azeri,0.6950937500000001,0.64983015625,0.73935640625,160
indonesian,0.70949375,0.66612453125,0.7516440625,160
romanian,0.711875,0.66596859375,0.7539446875,160
turkish,0.7152499999999999,0.6720187500000001,0.756315,160
dutch,0.7268874999999999,0.6819871875,0.7690125,160
serbian,0.7303125,0.685930625,0.77096265625,160
macedonian,0.7312124999999999,0.68576765625,0.774994375,160
albanian,0.73285625,0.68854875,0.7734956249999999,160
bosnian-mihanovich,0.73533125,0.6903246875,0.7766581249999999,160
croatian,0.73613125,0.69026046875,0.7780940625,160
bosnian-rwwad,0.73676875,0.69189078125,0.778838125,160
german,0.7381374999999999,0.6929998437499999,0.779806875,160
english,0.76165625,0.71586453125,0.8033876562500001,160
