model,language,mean_top1
sentence-transformers/LaBSE,albanian,0.8094374999999999
sentence-transformers/LaBSE,asante,0.08425
sentence-transformers/LaBSE,assamese,0.7781374999999999
sentence-transformers/LaBSE,azeri,0.8071624999999999
sentence-transformers/LaBSE,bosnian-mihanovich,0.8151375
sentence-transformers/LaBSE,bosnian-rwwad,0.8114375
sentence-transformers/LaBSE,chinese,0.785925
sentence-transformers/LaBSE,croatian,0.8112375000000001
sentence-transformers/LaBSE,dutch,0.80955
sentence-transformers/LaBSE,english,0.8287375000000001
sentence-transformers/LaBSE,french,0.7718375000000001
sentence-transformers/LaBSE,german,0.8124375
sentence-transformers/LaBSE,gujarati,0.7839750000000001
sentence-transformers/LaBSE,hausa,0.6973374999999999
sentence-transformers/LaBSE,indonesian,0.8172
sentence-transformers/LaBSE,japanese,0.7914
sentence-transformers/LaBSE,kannada,0.809225
sentence-transformers/LaBSE,khmer,0.7861125
sentence-transformers/LaBSE,kurdish,0.061687500000000006
sentence-transformers/LaBSE,kyrgyz,0.7726750000000001
sentence-transformers/LaBSE,lingala,0.12672500000000003
sentence-transformers/LaBSE,lithuanian,0.7942
sentence-transformers/LaBSE,macedonian,0.8006125000000001
sentence-transformers/LaBSE,malayalam,0.8095000000000001
sentence-transformers/LaBSE,moore,0.060825
sentence-transformers/LaBSE,oromo,0.08324999999999999
sentence-transformers/LaBSE,pashto,0.7332124999999999
sentence-transformers/LaBSE,persian,0.806
sentence-transformers/LaBSE,portuguese,0.815925
sentence-transformers/LaBSE,romanian,0.8040499999999999
sentence-transformers/LaBSE,serbian,0.8059999999999998
sentence-transformers/LaBSE,spanish,0.7846875
sentence-transformers/LaBSE,tagalog,0.788825
sentence-transformers/LaBSE,tajik,0.7596375
sentence-transformers/LaBSE,tamil,0.8000875000000001
sentence-transformers/LaBSE,turkish,0.805425
sentence-transformers/LaBSE,urdu,0.8001999999999999
sentence-transformers/LaBSE,uyghur,0.7479374999999999
sentence-transformers/LaBSE,uzbek,0.7706000000000001
sentence-transformers/LaBSE,vietnamese,0.775725
sentence-transformers/LaBSE,yoruba,0.49675000000000014
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,albanian,0.5026125
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,asante,0.005525
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,assamese,0.118675
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,azeri,0.3842875
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-mihanovich,0.50675
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,bosnian-rwwad,0.508275
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,chinese,0.4
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,croatian,0.5113375
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,dutch,0.4950875
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,english,0.53135
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,french,0.4535125
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,german,0.489525
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,gujarati,0.19773749999999998
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,hausa,0.0045874999999999996
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,indonesian,0.4601
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,japanese,0.424875
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,kannada,0.323225
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,khmer,0.33626249999999996
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,kurdish,0.1949625
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,kyrgyz,0.215125
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,lingala,0.0043625
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,lithuanian,0.4637375
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,macedonian,0.5155375
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,malayalam,0.35791249999999997
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,moore,0.006075
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,oromo,0.005262500000000001
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,pashto,0.20855
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,persian,0.41607500000000003
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,portuguese,0.4925
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,romanian,0.48719999999999997
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,serbian,0.507925
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,spanish,0.46248749999999994
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,tagalog,0.013537500000000003
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,tajik,0.0037375000000000004
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,tamil,0.3623
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,turkish,0.459925
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,urdu,0.4338749999999999
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,uyghur,0.24071250000000002
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,uzbek,0.009
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,vietnamese,0.4679375
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,yoruba,0.0051875
intfloat/multilingual-e5-base,albanian,0.751675
intfloat/multilingual-e5-base,asante,0.4429125
intfloat/multilingual-e5-base,assamese,0.7227125
intfloat/multilingual-e5-base,azeri,0.7920999999999999
intfloat/multilingual-e5-base,bosnian-mihanovich,0.761725
intfloat/multilingual-e5-base,bosnian-rwwad,0.7561
intfloat/multilingual-e5-base,chinese,0.529
intfloat/multilingual-e5-base,croatian,0.7516750000000001
intfloat/multilingual-e5-base,dutch,0.7276625
intfloat/multilingual-e5-base,english,0.7738249999999999
intfloat/multilingual-e5-base,french,0.6223375
intfloat/multilingual-e5-base,german,0.71245
intfloat/multilingual-e5-base,gujarati,0.6766
intfloat/multilingual-e5-base,hausa,0.581025
intfloat/multilingual-e5-base,indonesian,0.6767749999999999
intfloat/multilingual-e5-base,japanese,0.5544125000000001
intfloat/multilingual-e5-base,kannada,0.7745375
intfloat/multilingual-e5-base,khmer,0.65385
intfloat/multilingual-e5-base,kurdish,0.593675
intfloat/multilingual-e5-base,kyrgyz,0.7114
