language,encoder,pct_over_cap,p99_len,cap
albanian,labse,0.032071840923669014,142,256
albanian,mpnet,1.8441308531109684,150,128
albanian,e5,0.0,150,512
albanian,bgem3,0.0,150,8192
asante,labse,0.4810776138550353,224,256
asante,mpnet,10.439384220654265,245,128
asante,e5,0.016035920461834507,245,512
asante,bgem3,0.0,245,8192
assamese,labse,0.12828736369467605,174,256
assamese,mpnet,10.77613855035279,240,128
assamese,e5,0.016035920461834507,240,512
assamese,bgem3,0.0,240,8192
azeri,labse,0.032071840923669014,136,256
azeri,mpnet,1.6516998075689542,144,128
azeri,e5,0.0,144,512
azeri,bgem3,0.0,144,8192
bosnian-mihanovich,labse,0.016035920461834507,120,256
bosnian-mihanovich,mpnet,1.0904425914047466,130,128
bosnian-mihanovich,e5,0.0,130,512
bosnian-mihanovich,bgem3,0.0,130,8192
bosnian-rwwad,labse,0.016035920461834507,120,256
bosnian-rwwad,mpnet,1.074406670942912,130,128
bosnian-rwwad,e5,0.0,130,512
bosnian-rwwad,bgem3,0.0,130,8192
chinese,labse,0.032071840923669014,146,256
chinese,mpnet,0.6093649775497113,114,128
chinese,e5,0.0,114,512
chinese,bgem3,0.0,114,8192
croatian,labse,0.016035920461834507,119,256
croatian,mpnet,1.0262989095574084,130,128
croatian,e5,0.0,130,512
croatian,bgem3,0.0,130,8192
dutch,labse,0.08017960230917255,143,256
dutch,mpnet,2.1007055805003207,156,128
dutch,e5,0.0,156,512
dutch,bgem3,0.0,156,8192
english,labse,0.016035920461834507,116,256
english,mpnet,0.8499037844772289,123,128
english,e5,0.0,123,512
english,bgem3,0.0,123,8192
french,labse,0.04810776138550353,148,256
french,mpnet,2.196921103271328,162,128
french,e5,0.0,162,512
french,bgem3,0.0,162,8192
german,labse,0.032071840923669014,137,256
german,mpnet,1.603592046183451,146,128
german,e5,0.0,146,512
german,bgem3,0.0,146,8192
gujarati,labse,0.11225144323284157,165,256
gujarati,mpnet,3.6241180243745994,178,128
gujarati,e5,0.0,178,512
gujarati,bgem3,0.0,178,8192
hausa,labse,0.09621552277100706,167,256
hausa,mpnet,4.185375240538807,184,128
hausa,e5,0.0,184,512
hausa,bgem3,0.0,184,8192
indonesian,labse,0.016035920461834507,139,256
indonesian,mpnet,1.8762026940346375,150,128
indonesian,e5,0.0,150,512
indonesian,bgem3,0.0,150,8192
japanese,labse,0.6254008980115459,227,256
japanese,mpnet,5.099422706863374,194,128
japanese,e5,0.0,194,512
japanese,bgem3,0.0,194,8192
kannada,labse,0.04810776138550353,162,256
kannada,mpnet,2.710070558050032,160,128
kannada,e5,0.0,160,512
kannada,bgem3,0.0,160,8192
khmer,labse,1.3309813983322643,268,256
khmer,mpnet,8.49903784477229,226,128
khmer,e5,0.016035920461834507,226,512
khmer,bgem3,0.0,226,8192
